keyword,quality_attribute,matched_words,nunique,total_matched
integr,integrability,"['integral' 'integrity' 'integration' 'integrated' 'integrate'
 'integrative' 'integrating' 'integrals' 'integrand' 'integrator'
 'integralonedim' 'integrated-as' 'integrators' 'integrity-check'
 'integrands' 'integral-type' 'integralfast' 'integratormultidim'
 'integrationtypes' 'integratormultidimoptions' 'integrates'
 'integratebins' 'integrable' 'integrations' 'integrallow' 'integratable'
 'integrateoverbinsprecision' 'integratoronedimoptions'
 'integral-expression' 'integratoronedim' 'integralup' 'integreation'
 'integrated-' 'integratorname' 'integralerror' 'integralanderror'
 'integrator-specific' 'integral-to-boolean' 'integrer'
 'integrationmultidim' 'integral-promoted' 'integralmultiple'
 'integral-typed' 'integralcast' 'integralmorpht' 'integrandtransform'
 'integral-based' 'integritykey' 'integral-factors' 'integratedas'
 'integra' 'integrated-objemitter' 'integr' 'integral-in-floating'
 'integralfoo' 'integrationonedim' 'integratoroptions'
 'integrate-root-into-my-project-with-cmake' 'integraltofloating'
 'integral-to-floating' 'integralevaluator' 'integrationrange' 'integral-'
 'integral-like' 'integralsig' 'integratesubrange' 'integrate-'
 'integralbkg' 'integral-for-roogenericpdf' 'integral-in-a-thnd'
 'integration-of-roobdecay-and-rooabsanaconvpdf' 'integration-workflow'
 'integrate-root-my-project-cmake' 'integration-of-binary-packages'
 'integralclone' 'integral-with-limits-under-frac'
 'integrating-data-using-ingest' 'integration-scanorama'
 'integrating-data-using-ingest-and-bbknn' 'integratedata'
 'integration-and-label-transfer-from-scrna-seq-dataset']",81,6466
integr,interoperability,"['integral' 'integrity' 'integration' 'integrated' 'integrate'
 'integrative' 'integrating' 'integrals' 'integrand' 'integrator'
 'integralonedim' 'integrated-as' 'integrators' 'integrity-check'
 'integrands' 'integral-type' 'integralfast' 'integratormultidim'
 'integrationtypes' 'integratormultidimoptions' 'integrates'
 'integratebins' 'integrable' 'integrations' 'integrallow' 'integratable'
 'integrateoverbinsprecision' 'integratoronedimoptions'
 'integral-expression' 'integratoronedim' 'integralup' 'integreation'
 'integrated-' 'integratorname' 'integralerror' 'integralanderror'
 'integrator-specific' 'integral-to-boolean' 'integrer'
 'integrationmultidim' 'integral-promoted' 'integralmultiple'
 'integral-typed' 'integralcast' 'integralmorpht' 'integrandtransform'
 'integral-based' 'integritykey' 'integral-factors' 'integratedas'
 'integra' 'integrated-objemitter' 'integr' 'integral-in-floating'
 'integralfoo' 'integrationonedim' 'integratoroptions'
 'integrate-root-into-my-project-with-cmake' 'integraltofloating'
 'integral-to-floating' 'integralevaluator' 'integrationrange' 'integral-'
 'integral-like' 'integralsig' 'integratesubrange' 'integrate-'
 'integralbkg' 'integral-for-roogenericpdf' 'integral-in-a-thnd'
 'integration-of-roobdecay-and-rooabsanaconvpdf' 'integration-workflow'
 'integrate-root-my-project-cmake' 'integration-of-binary-packages'
 'integralclone' 'integral-with-limits-under-frac'
 'integrating-data-using-ingest' 'integration-scanorama'
 'integrating-data-using-ingest-and-bbknn' 'integratedata'
 'integration-and-label-transfer-from-scrna-seq-dataset']",81,6508
integr,modifiability,"['integral' 'integrity' 'integration' 'integrated' 'integrate'
 'integrative' 'integrating' 'integrals' 'integrand' 'integrator'
 'integralonedim' 'integrated-as' 'integrators' 'integrity-check'
 'integrands' 'integral-type' 'integralfast' 'integratormultidim'
 'integrationtypes' 'integratormultidimoptions' 'integrates'
 'integratebins' 'integrable' 'integrations' 'integrallow' 'integratable'
 'integrateoverbinsprecision' 'integratoronedimoptions'
 'integral-expression' 'integratoronedim' 'integralup' 'integreation'
 'integrated-' 'integratorname' 'integralerror' 'integralanderror'
 'integrator-specific' 'integral-to-boolean' 'integrer'
 'integrationmultidim' 'integral-promoted' 'integralmultiple'
 'integral-typed' 'integralcast' 'integralmorpht' 'integrandtransform'
 'integral-based' 'integritykey' 'integral-factors' 'integratedas'
 'integra' 'integrated-objemitter' 'integr' 'integral-in-floating'
 'integralfoo' 'integrationonedim' 'integratoroptions'
 'integrate-root-into-my-project-with-cmake' 'integraltofloating'
 'integral-to-floating' 'integralevaluator' 'integrationrange' 'integral-'
 'integral-like' 'integralsig' 'integratesubrange' 'integrate-'
 'integralbkg' 'integral-for-roogenericpdf' 'integral-in-a-thnd'
 'integration-of-roobdecay-and-rooabsanaconvpdf' 'integration-workflow'
 'integrate-root-my-project-cmake' 'integration-of-binary-packages'
 'integralclone' 'integral-with-limits-under-frac'
 'integrating-data-using-ingest' 'integration-scanorama'
 'integrating-data-using-ingest-and-bbknn' 'integratedata'
 'integration-and-label-transfer-from-scrna-seq-dataset']",81,6509
integr,reliability,"['integral' 'integrity' 'integration' 'integrated' 'integrate'
 'integrative' 'integrating' 'integrals' 'integrand' 'integrator'
 'integralonedim' 'integrated-as' 'integrators' 'integrity-check'
 'integrands' 'integral-type' 'integralfast' 'integratormultidim'
 'integrationtypes' 'integratormultidimoptions' 'integrates'
 'integratebins' 'integrable' 'integrations' 'integrallow' 'integratable'
 'integrateoverbinsprecision' 'integratoronedimoptions'
 'integral-expression' 'integratoronedim' 'integralup' 'integreation'
 'integrated-' 'integratorname' 'integralerror' 'integralanderror'
 'integrator-specific' 'integral-to-boolean' 'integrer'
 'integrationmultidim' 'integral-promoted' 'integralmultiple'
 'integral-typed' 'integralcast' 'integralmorpht' 'integrandtransform'
 'integral-based' 'integritykey' 'integral-factors' 'integratedas'
 'integra' 'integrated-objemitter' 'integr' 'integral-in-floating'
 'integralfoo' 'integrationonedim' 'integratoroptions'
 'integrate-root-into-my-project-with-cmake' 'integraltofloating'
 'integral-to-floating' 'integralevaluator' 'integrationrange' 'integral-'
 'integral-like' 'integralsig' 'integratesubrange' 'integrate-'
 'integralbkg' 'integral-for-roogenericpdf' 'integral-in-a-thnd'
 'integration-of-roobdecay-and-rooabsanaconvpdf' 'integration-workflow'
 'integrate-root-my-project-cmake' 'integration-of-binary-packages'
 'integralclone' 'integral-with-limits-under-frac'
 'integrating-data-using-ingest' 'integration-scanorama'
 'integrating-data-using-ingest-and-bbknn' 'integratedata'
 'integration-and-label-transfer-from-scrna-seq-dataset']",81,6510
integr,security,"['integral' 'integrity' 'integration' 'integrated' 'integrate'
 'integrative' 'integrating' 'integrals' 'integrand' 'integrator'
 'integralonedim' 'integrated-as' 'integrators' 'integrity-check'
 'integrands' 'integral-type' 'integralfast' 'integratormultidim'
 'integrationtypes' 'integratormultidimoptions' 'integrates'
 'integratebins' 'integrable' 'integrations' 'integrallow' 'integratable'
 'integrateoverbinsprecision' 'integratoronedimoptions'
 'integral-expression' 'integratoronedim' 'integralup' 'integreation'
 'integrated-' 'integratorname' 'integralerror' 'integralanderror'
 'integrator-specific' 'integral-to-boolean' 'integrer'
 'integrationmultidim' 'integral-promoted' 'integralmultiple'
 'integral-typed' 'integralcast' 'integralmorpht' 'integrandtransform'
 'integral-based' 'integritykey' 'integral-factors' 'integratedas'
 'integra' 'integrated-objemitter' 'integr' 'integral-in-floating'
 'integralfoo' 'integrationonedim' 'integratoroptions'
 'integrate-root-into-my-project-with-cmake' 'integraltofloating'
 'integral-to-floating' 'integralevaluator' 'integrationrange' 'integral-'
 'integral-like' 'integralsig' 'integratesubrange' 'integrate-'
 'integralbkg' 'integral-for-roogenericpdf' 'integral-in-a-thnd'
 'integration-of-roobdecay-and-rooabsanaconvpdf' 'integration-workflow'
 'integrate-root-my-project-cmake' 'integration-of-binary-packages'
 'integralclone' 'integral-with-limits-under-frac'
 'integrating-data-using-ingest' 'integration-scanorama'
 'integrating-data-using-ingest-and-bbknn' 'integratedata'
 'integration-and-label-transfer-from-scrna-seq-dataset']",81,6510
integr,testability,"['integral' 'integrity' 'integration' 'integrated' 'integrate'
 'integrative' 'integrating' 'integrals' 'integrand' 'integrator'
 'integralonedim' 'integrated-as' 'integrators' 'integrity-check'
 'integrands' 'integral-type' 'integralfast' 'integratormultidim'
 'integrationtypes' 'integratormultidimoptions' 'integrates'
 'integratebins' 'integrable' 'integrations' 'integrallow' 'integratable'
 'integrateoverbinsprecision' 'integratoronedimoptions'
 'integral-expression' 'integratoronedim' 'integralup' 'integreation'
 'integrated-' 'integratorname' 'integralerror' 'integralanderror'
 'integrator-specific' 'integral-to-boolean' 'integrer'
 'integrationmultidim' 'integral-promoted' 'integralmultiple'
 'integral-typed' 'integralcast' 'integralmorpht' 'integrandtransform'
 'integral-based' 'integritykey' 'integral-factors' 'integratedas'
 'integra' 'integrated-objemitter' 'integr' 'integral-in-floating'
 'integralfoo' 'integrationonedim' 'integratoroptions'
 'integrate-root-into-my-project-with-cmake' 'integraltofloating'
 'integral-to-floating' 'integralevaluator' 'integrationrange' 'integral-'
 'integral-like' 'integralsig' 'integratesubrange' 'integrate-'
 'integralbkg' 'integral-for-roogenericpdf' 'integral-in-a-thnd'
 'integration-of-roobdecay-and-rooabsanaconvpdf' 'integration-workflow'
 'integrate-root-my-project-cmake' 'integration-of-binary-packages'
 'integralclone' 'integral-with-limits-under-frac'
 'integrating-data-using-ingest' 'integration-scanorama'
 'integrating-data-using-ingest-and-bbknn' 'integratedata'
 'integration-and-label-transfer-from-scrna-seq-dataset']",81,6509
integr test,integrability,"['integrated test' 'integral tests' 'integral test' 'integrated tester'
 'integration tests' 'integration testing' 'integration test'
 'integrated tests']",8,36
interact,usability,"['interact' 'interactive' 'interaction' 'interacting' 'interacts'
 'interactively' 'interactions' 'interactivity' 'interactivemoderunner'
 'interactive-mode' 'interactivemodelrunner' 'interactivecontrol'
 'interactive-cpp-for-data-science' 'interactive-cpp-with-cling'
 'interaction-with-discourse' 'interactive-command-hangs'
 'interactively-working-with-large-ntuple-tree-files-discovered-big-difference-between-old-and-new-root-versions-in-speed-'
 'interactiveshell' 'interactive-viewer' 'interactives'
 'interactive-graphics'
 'interactive-rebase-squash-amend-rewriting-history' 'interacted'
 'interactive-rebase-guide' 'interaction-term-in-python-sklearn'
 'interacticely']",26,1720
intercept,security,"['intercepted' 'interceptor' 'interception' 'intercept' 'intercepting'
 'intercept-build' 'intercepts' 'interceptors' 'intercept-c'
 'intercept-cc' 'intercept-first']",11,146
interfac,integrability,"['interface' 'interfaces' 'interfact' 'interfacing' 'interface-like'
 'interface-stubs' 'interfaced' 'interfacedecl' 'interfacemethod'
 'interfacefile' 'interfacefilerefs' 'interfacestubs'
 'interfacestubfunctionsconsumer' 'interfaceinputorder' 'interfacetype'
 'interface-decl-list' 'interfacecandidate' 'interface-attributes'
 'interface-compatible' 'interfacestub' 'interfaceattachmenttest'
 'interface-defs' 'interfacesglobalinitcheck' 'interfacesupport'
 'interface-decls' 'interfaceutils' 'interface-problems-with-'
 'interface-dependent' 'interface-variables' 'interface-wise']",30,7176
interfac,interoperability,"['interface' 'interfaces' 'interfact' 'interfacing' 'interface-like'
 'interface-stubs' 'interfaced' 'interfacedecl' 'interfacemethod'
 'interfacefile' 'interfacefilerefs' 'interfacestubs'
 'interfacestubfunctionsconsumer' 'interfaceinputorder' 'interfacetype'
 'interface-decl-list' 'interfacecandidate' 'interface-attributes'
 'interface-compatible' 'interfacestub' 'interfaceattachmenttest'
 'interface-defs' 'interfacesglobalinitcheck' 'interfacesupport'
 'interface-decls' 'interfaceutils' 'interface-problems-with-'
 'interface-dependent' 'interface-variables' 'interface-wise']",30,7177
interfac,modifiability,"['interface' 'interfaces' 'interfact' 'interfacing' 'interface-like'
 'interface-stubs' 'interfaced' 'interfacedecl' 'interfacemethod'
 'interfacefile' 'interfacefilerefs' 'interfacestubs'
 'interfacestubfunctionsconsumer' 'interfaceinputorder' 'interfacetype'
 'interface-decl-list' 'interfacecandidate' 'interface-attributes'
 'interface-compatible' 'interfacestub' 'interfaceattachmenttest'
 'interface-defs' 'interfacesglobalinitcheck' 'interfacesupport'
 'interface-decls' 'interfaceutils' 'interface-problems-with-'
 'interface-dependent' 'interface-variables' 'interface-wise']",30,7178
interfac design,usability,['interface designed' 'interface designers'],2,4
interlock,safety,['interlocked' 'interlocks'],2,20
interm,modifiability,"['intermediate' 'intermediateresults' 'interm' 'intermittent'
 'intermingled' 'intermediary' 'intermideate' 'intermixed'
 'intermediatestore' 'intermal' 'intermodule' 'intermidiate' 'intermix'
 'intermingle' 'intermediately' 'intermediate-format' 'intermdiate'
 'intermittently' 'intermediatedirs' 'intermixing' 'intermediate-code'
 'intermingling' 'intermezzo' 'intermodular' 'intermediates']",25,1013
intermediar,integrability,['intermediary'],1,23
interop,interoperability,"['interoperate' 'interop' 'interop-modifier' 'interop-type' 'interop-var'
 'interopvar' 'interop-types' 'interoptype' 'interopinfo' 'interoperating'
 'interoperation' 'interoperates']",12,131
interop,modifiability,"['interoperate' 'interoperability' 'interop' 'interop-modifier'
 'interop-type' 'interop-var' 'interopvar' 'interop-types' 'interoptype'
 'interopinfo' 'interoperable' 'interoperating' 'interoperation'
 'interoperates']",14,192
interoperab,interoperability,['interoperability' 'interoperable'],2,61
intrus,security,"['intrusive' 'intrusiverefcntptr' 'intrusiverefcntptrinfo' 'intrusively'
 'intrusctions' 'intrusiverefcntptrclang']",6,106
intuit,usability,"['intuitive' 'intuition' 'intuitively' 'intuitions'
 'intuitive-immunosuppression']",5,155
iop,performance,"['ioperf' 'ioptions' 'iopos' 'iopt' 'iops' 'iopub' 'iop' 'iopscience'
 'ioption' 'iopminformee']",10,63
ipsec,security,['ipsec'],1,1
iso,security,"['iso' 'iso-' 'iso-ir-' 'iso-level' 'iso-surfaces' 'iso-ir' 'iso-surface'
 'iso-mesh' 'iso-levels' 'iso-fortran-binding']",10,388
isol,safety,"['isolated' 'isolation' 'isolate' 'isolates'
 'isolated-installations-of-homebrew' 'isolating'
 'isolatedeclarationcheck' 'isolatedly' 'isolve']",9,285
isol,testability,"['isolated' 'isolation' 'isolate' 'isolates'
 'isolated-installations-of-homebrew' 'isolating'
 'isolatedeclarationcheck' 'isolatedly' 'isolve']",9,285
joul,energy efficiency,['joule'],1,2
jwt,security,['jwt'],1,4
keystrok,usability,['keystroke' 'keystrokes'],2,3
latenc,performance,"['latency' 'latenciesgrouped' 'latencies' 'latencybenchmarkrunner'
 'latenciesalone' 'latency-insensitive' 'latency-oriented'
 'latencypriorityqueue' 'latency-hiding' 'latency-savings'
 'latenciesaloneplusconsecutive' 'latency-based' 'latency-limited'
 'latencyaccountant' 'latency-mode']",15,648
latenc,usability,"['latency' 'latenciesgrouped' 'latencies' 'latencybenchmarkrunner'
 'latenciesalone' 'latency-insensitive' 'latency-oriented'
 'latencypriorityqueue' 'latency-hiding' 'latency-savings'
 'latenciesaloneplusconsecutive' 'latency-based' 'latency-limited'
 'latencyaccountant' 'latency-mode']",15,648
layer,modifiability,"['layer' 'layers' 'layerchart' 'layered' 'layering' 'layerdata' 'layer-'
 'layertype' 'layerdepth' 'layerm' 'layer-structure-data' 'layervalues'
 'layernorm' 'layernormalization' 'layerplanedescriptor' 'layerattributes'
 'layerdtype' 'layerinput' 'layername' 'layeroutput' 'layerweight'
 'layer-wise' 'layer-perceptron' 'layersbase' 'layer-multiplex']",25,3082
learn,usability,"['learning' 'learned' 'learning-based' 'learn'
 'learning-container-license' 'learning-' 'learns' 'learn-' 'learnt'
 'learners' 'learningrate' 'learnprefill' 'learner' 'learnopencv'
 'learningmethod' 'learnable' 'learningprefill' 'learningrateschedule'
 'learn-intelex' 'learning-vm' 'learn-extra' 'learn-contrib']",22,1668
legitim,security,"['legitimate' 'legitimately' 'legitimacy' 'legitimate-seeming'
 'legitimnate']",5,53
licens use,interoperability,['license use'],1,3
lineag,security,['lineage' 'lineages' 'lineageot'],3,23
load,energy efficiency,"['load' 'loading' 'loaded' 'loads' 'loader' 'loadcpus' 'loadmemory'
 'loadmodules' 'loadopts' 'loadmodule' 'loadandreducedatafn' 'loadtree'
 'load-dependent' 'loadclusters' 'loadzu' 'loadandreducefn'
 'load-value-injection' 'loadinst' 'load-linked' 'loadable' 'loadsequence'
 'loadresult' 'load-store' 'loadnode' 'load-to-use' 'load-immediate'
 'load-safe-path' 'loadstructureimpl' 'loadcmpblock' 'loadsize'
 'loadentry' 'loadbytes' 'loadintfrommemory' 'loadsdnode' 'loadbb'
 'loadaddress' 'loadcnt' 'loadi' 'loadextaction' 'loadatomic' 'loadview'
 'loaders' 'loadqueryfont' 'loadedobjectinfo' 'loadext' 'loadexttype'
 'loadfromcommandline' 'loadobjects' 'load-and-trap' 'loadstoreopt'
 'loadclass' 'loadedty' 'loadcmd' 'load-and-splat' 'loadregfromstackslot'
 'loadptr' 'load-address' 'load-balancing' 'loadclassinfo' 'loadxx'
 'loadpcm' 'load-and-test' 'load-effective-address' 'loadvalues'
 'loadpageimpl' 'loadprofiles' 'load-immediate-shifted' 'loadbaskets'
 'load-load' 'loadfromcompilerinvocation' 'load-modify-store'
 'loadcmpblocks' 'loadclangmodule' 'loadaddr' 'loadsizes' 'loadrcpp'
 'loadedtype' 'loaddictionary' 'loadiwkey' 'loadkwkey' 'loadexternal'
 'load-and-extend' 'loadfromdirectory'
 'loading-user-libraries-and-just-in-time-compilation-jitting'
 'loadobject' 'loadorgenerate' 'loadbasket' 'load-access' 'loadedid'
 'loadaccess' 'loaded-from' 'loadu' 'load-op-store' 'loadhtmlstring'
 'load-lane' 'loadsu' 'loadendf' 'loadstore' 'loadandstorepromoter'
 'loadeddictend' 'loadcxxvtt' 'loadfirstmatchonly' 'loadquery' 'loadpage'
 'load-hit-store' 'loadgraphicslibs' 'loadfieldsfromexternalstorage'
 'load-hoistable' 'load-addresses' 'loadsnapshot' 'load-elimination'
 'loadedvec' 'loadsealedpage' 'loadbaseptr' 'loadedslocentrytable'
 'loadvt' 'loadortruncbits' 'loadstorevectorizer' 'loadx' 'loadprefix'
 'load-register-on-condition' 'loadstackguard' 'loadqueue'
 'loadfromastfile' 'load-literal' 'loadselector' 'loadstructure'
 'loadedreg' 'loadregtostackslot' 'loadersecrelent' 'load-pre'
 'loadregindex' 'loadedslice' 'loadedslices' 'loadblockvaraddr'
 'loadstatic' 'loadedoffset' 'loadhigh' 'loadlow' 'load-folding'
 'loadalllibs' 'loadtracefile' 'loadindex' 'loadedobjectmap' 'loadlibrary'
 'loadtext' 'loadcombine' 'loadurl' 'loadasi' 'loadstarted'
 'loaderuninitialized' 'load-like' 'loadimage' 'loadabe' 'load-stores'
 'loadlist' 'load-pair' 'load-byte' 'loader-inlining' 'loadd' 'loadhits'
 'loadgot' 'load-store-vectorizer' 'loadlibrarymap' 'loadcluster'
 'loaddynamicvcruntime' 'loadstaticvcruntime' 'loadmi' 'load-combined'
 'loadv' 'loadglobalindex' 'loadlatency' 'loadobjectimpl' 'loadfromarray'
 'load-folded' 'load-barrier' 'loadregfromaddr' 'loadedobjects'
 'loadedvector' 'loadlibrarypermanently' 'loadfuncstobeused' 'loadmacro'
 'loadcxxthis' 'loadeliminationforloop' 'load-duplicate' 'loadfo'
 'load-multiple' 'loadobjcself' 'load-op-cmpxchg' 'load-combine'
 'loadnumberentries' 'loadplugin' 'loadimm' 'loadn' 'loadlinked'
 'loader-gdb' 'load-failure' 'loadedmodulefile' 'loadfailurecapabilities'
 'loadscript' 'loadcntdscnt' 'load-time' 'load-acquire'
 'load-on-condition' 'load-blend-store' 'load-and' 'load-clear' 'loadicon'
 'loadweak' 'loadlal' 'loading-mode' 'load-heavy' 'loadweakretained'
 'loadpre' 'load-vn' 'loadconfig' 'loadhtmlstringmatches' 'loadfromdisk'
 'loadupper' 'loadparamsanddata' 'load-and-store-intrinsics' 'loadbarrier'
 'load-hoist' 'loadedmoduleinfolist' 'load-config' 'loader-section-header'
 'loader-section-relocations' 'loader-section-symbols' 'load-right'
 'load-left' 'loader-cpu' 'loadexportkeys' 'load-object' 'load-based'
 'loadpackageonclient' 'load-pass-plugin'
 'loaded-code-object-path-uniform-resource-identifier' 'loadweights'
 'loadsdnodes' 'loadfile' 'loadfactoryexpressions' 'loadmoduleoncontext'
 'loadenums' 'loadlib' 'load-libs' 'loadheader' 'loadfinderbinning'
 'loadcurrentdim' 'loaded-with-ttrees-with-different-names'
 'loading-dictionary' 'loadcoremodules'
 'loadlibrary-while-compiling-in-root-' 'load-test' 'loadhdu'
 'loadclassdefault' 'loaddictionaryforstltype' 'loadalllibraries'
 'loadcomputelibrary' 'loaderpy-uses-wrong-include' 'load-at-runtime'
 'loadling' 'loadfromfileresidentfolder' 'loadsubdirectorymodulemaps'
 'loaded-before-roofit-initialisation-began' 'loadpcmimpl' 'loadroot'
 'load-library-' 'loadlazyspecializationsimpl' 'loadtreewithoptions'
 'loading-root-file' 'loadslocentry' 'load-spark-env'
 'loadglobalmoduleindex' 'load-file-first' 'loadtoplevelsystemmodules'
 'loadlexicaldeclsfromexternalstorage' 'loadernotapp' 'loadernotapp-build'
 'loadmodulesvec' 'loadenumcollection' 'loadexternalspecializationslazily'
 'loadextensions' 'loadsharedlibs' 'loadfiletomemory'
 'loadlazyspecializationimpl' 'loadcode' 'loadings'
 'load-failed-while-file-is-in-working-directory'
 'loaded-from-tabular-data' 'loadregularindextext' 'loadregularindexbin']",291,20271
load,performance,"['load' 'loading' 'loaded' 'loads' 'loader' 'loadcpus' 'loadmemory'
 'loadmodules' 'loadopts' 'loadmodule' 'loadandreducedatafn' 'loadtree'
 'load-dependent' 'loadclusters' 'loadzu' 'loadandreducefn'
 'load-value-injection' 'loadinst' 'load-linked' 'loadable' 'loadsequence'
 'loadresult' 'load-store' 'loadnode' 'load-to-use' 'load-immediate'
 'load-safe-path' 'loadstructureimpl' 'loadcmpblock' 'loadsize'
 'loadentry' 'loadbytes' 'loadintfrommemory' 'loadsdnode' 'loadbb'
 'loadaddress' 'loadcnt' 'loadi' 'loadextaction' 'loadatomic' 'loadview'
 'loaders' 'loadqueryfont' 'loadedobjectinfo' 'loadext' 'loadexttype'
 'loadfromcommandline' 'loadobjects' 'load-and-trap' 'loadstoreopt'
 'loadclass' 'loadedty' 'loadcmd' 'load-and-splat' 'loadregfromstackslot'
 'loadptr' 'load-address' 'load-balancing' 'loadclassinfo' 'loadxx'
 'loadpcm' 'load-and-test' 'load-effective-address' 'loadvalues'
 'loadpageimpl' 'loadprofiles' 'load-immediate-shifted' 'loadbaskets'
 'load-load' 'loadfromcompilerinvocation' 'load-modify-store'
 'loadcmpblocks' 'loadclangmodule' 'loadaddr' 'loadsizes' 'loadrcpp'
 'loadedtype' 'loaddictionary' 'loadiwkey' 'loadkwkey' 'loadexternal'
 'load-and-extend' 'loadfromdirectory'
 'loading-user-libraries-and-just-in-time-compilation-jitting'
 'loadobject' 'loadorgenerate' 'loadbasket' 'load-access' 'loadedid'
 'loadaccess' 'loaded-from' 'loadu' 'load-op-store' 'loadhtmlstring'
 'load-lane' 'loadsu' 'loadendf' 'loadstore' 'loadandstorepromoter'
 'loadeddictend' 'loadcxxvtt' 'loadfirstmatchonly' 'loadquery' 'loadpage'
 'load-hit-store' 'loadgraphicslibs' 'loadfieldsfromexternalstorage'
 'load-hoistable' 'load-addresses' 'loadsnapshot' 'load-elimination'
 'loadedvec' 'loadsealedpage' 'loadbaseptr' 'loadedslocentrytable'
 'loadvt' 'loadortruncbits' 'loadstorevectorizer' 'loadx' 'loadprefix'
 'load-register-on-condition' 'loadstackguard' 'loadqueue'
 'loadfromastfile' 'load-literal' 'loadselector' 'loadstructure'
 'loadedreg' 'loadregtostackslot' 'loadersecrelent' 'load-pre'
 'loadregindex' 'loadedslice' 'loadedslices' 'loadblockvaraddr'
 'loadstatic' 'loadedoffset' 'loadhigh' 'loadlow' 'load-folding'
 'loadalllibs' 'loadtracefile' 'loadindex' 'loadedobjectmap' 'loadlibrary'
 'loadtext' 'loadcombine' 'loadurl' 'loadasi' 'loadstarted'
 'loaderuninitialized' 'load-like' 'loadimage' 'loadabe' 'load-stores'
 'loadlist' 'load-pair' 'load-byte' 'loader-inlining' 'loadd' 'loadhits'
 'loadgot' 'load-store-vectorizer' 'loadlibrarymap' 'loadcluster'
 'loaddynamicvcruntime' 'loadstaticvcruntime' 'loadmi' 'load-combined'
 'loadv' 'loadglobalindex' 'loadlatency' 'loadobjectimpl' 'loadfromarray'
 'load-folded' 'load-barrier' 'loadregfromaddr' 'loadedobjects'
 'loadedvector' 'loadlibrarypermanently' 'loadfuncstobeused' 'loadmacro'
 'loadcxxthis' 'loadeliminationforloop' 'load-duplicate' 'loadfo'
 'load-multiple' 'loadobjcself' 'load-op-cmpxchg' 'load-combine'
 'loadnumberentries' 'loadplugin' 'loadimm' 'loadn' 'loadlinked'
 'loader-gdb' 'load-failure' 'loadedmodulefile' 'loadfailurecapabilities'
 'loadscript' 'loadcntdscnt' 'load-time' 'load-acquire'
 'load-on-condition' 'load-blend-store' 'load-and' 'load-clear' 'loadicon'
 'loadweak' 'loadlal' 'loading-mode' 'load-heavy' 'loadweakretained'
 'loadpre' 'load-vn' 'loadconfig' 'loadhtmlstringmatches' 'loadfromdisk'
 'loadupper' 'loadparamsanddata' 'load-and-store-intrinsics' 'loadbarrier'
 'load-hoist' 'loadedmoduleinfolist' 'load-config' 'loader-section-header'
 'loader-section-relocations' 'loader-section-symbols' 'load-right'
 'load-left' 'loader-cpu' 'loadexportkeys' 'load-object' 'load-based'
 'loadpackageonclient' 'load-pass-plugin'
 'loaded-code-object-path-uniform-resource-identifier' 'loadweights'
 'loadsdnodes' 'loadfile' 'loadfactoryexpressions' 'loadmoduleoncontext'
 'loadenums' 'loadlib' 'load-libs' 'loadheader' 'loadfinderbinning'
 'loadcurrentdim' 'loaded-with-ttrees-with-different-names'
 'loading-dictionary' 'loadcoremodules' 'load-test' 'loadhdu'
 'loadclassdefault' 'loaddictionaryforstltype' 'loadalllibraries'
 'loadcomputelibrary' 'loaderpy-uses-wrong-include' 'load-at-runtime'
 'loadling' 'loadfromfileresidentfolder' 'loadsubdirectorymodulemaps'
 'loaded-before-roofit-initialisation-began' 'loadpcmimpl' 'loadroot'
 'load-library-' 'loadlazyspecializationsimpl' 'loadtreewithoptions'
 'loading-root-file' 'loadslocentry' 'load-spark-env'
 'loadglobalmoduleindex' 'load-file-first' 'loadtoplevelsystemmodules'
 'loadlexicaldeclsfromexternalstorage' 'loadernotapp' 'loadernotapp-build'
 'loadmodulesvec' 'loadenumcollection' 'loadexternalspecializationslazily'
 'loadextensions' 'loadsharedlibs' 'loadfiletomemory'
 'loadlazyspecializationimpl' 'loadcode' 'loadings'
 'load-failed-while-file-is-in-working-directory'
 'loaded-from-tabular-data' 'loadregularindextext' 'loadregularindexbin']",290,20257
load balanc,performance,['load balancing' 'load balancer'],2,9
load test,performance,['loading test' 'load test'],2,2
loader,deployability,"['loader' 'loaders' 'loadersecrelent' 'loaderuninitialized'
 'loader-inlining' 'loader-gdb' 'loader-section-header'
 'loader-section-relocations' 'loader-section-symbols' 'loader-cpu'
 'loaderpy-uses-wrong-include' 'loadernotapp' 'loadernotapp-build']",13,275
lock,performance,"['lock' 'lock-free' 'lockstep' 'locks' 'lockset' 'locker' 'locking'
 'locked' 'lockable' 'lockname' 'lockinds' 'locksets' 'lock-prefixed'
 'lock-count' 'lockup' 'lock-unlock' 'lockind' 'lockfilemanager'
 'lock-step' 'lockcompilationduringusercodeexecution' 'lockdefaultunits'
 'lock-protected' 'lock-release' 'lock-in' 'lockfilename' 'lockr' 'lockf'
 'lockstepreverseiterator' 'lockers' 'lockkind' 'lockmap' 'lockups'
 'lock-type' 'lockandinit' 'lockfilebase' 'lockprefixtable'
 'lockfileposix' 'lockfile' 'lockfilewindows' 'lock-based' 'lock-centric'
 'lock-program-freezes' 'lockguard' 'lockdefautunits' 'lockfocusifcandraw'
 'lockforreadingwithexceptionhandler' 'lock-' 'lock-tcling-unloadfile'
 'locks-testing' 'locked-in-memory' 'lock-file' 'locket' 'lockfile-'
 'locket-' 'locked-down' 'lockdown']",56,2181
